ExerciseID,한글명,English,모달리티,계열,MinLevel,SkillComplexity,충격,처방단위,기본용량_원문,상대부하,금기_주의,회귀_원문,회귀_해석됨,진행_원문,진행_해석됨,SourceID,SourceURL,CrossFitMovementsURL,공식YouTube
EX021,스트릭트 프레스,Strict Press,웨이트리프팅,수직 밀기,1,2,낮음,세트×회,3~5×3~8,중간~무거움,어깨 통증,덤벨 프레스,미해석,포즈/템포 프레스,미해석,S03,https://stronglifts.com/stronglifts-5x5/workout-program/,https://www.crossfit.com/essentials/movements,https://www.youtube.com/watch?v=xe19t2_6yis
EX022,푸시프레스,Push Press,웨이트리프팅,오버헤드,1,2,중간,세트×회,3~6×2~6,중간~무거움,어깨/손목 통증,스트릭트 프레스,스트릭트 프레스,헤비 푸시프레스,미해석,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,https://www.youtube.com/watch?v=iaBVSJm78ko
EX023,덤벨 숄더프레스,Dumbbell Shoulder Press,웨이트리프팅,수직 밀기,1,1,낮음,세트×회,2~4×6~12,중간,어깨 통증,싱글암 가벼운 프레스,미해석,아놀드/편측 프레스,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX024,바벨 로우,Barbell Row,웨이트리프팅,수평 당기기,1,2,낮음,세트×회,3~5×5~10,중간,급성 요통,링 로우,링 로우,펜들레이 로우,미해석,S03,https://stronglifts.com/stronglifts-5x5/workout-program/,https://www.crossfit.com/essentials/movements,
EX025,링 로우,Ring Row,체조,수평 당기기,1,1,낮음,회,3~5×6~15,체중,어깨/팔꿈치 통증,수직 각도 높임,미해석,발 상승 링 로우,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX026,스트릭트 풀업,Strict Pull-up,체조,수직 당기기,1,3,낮음,품질회,4~8×1~6,체중,어깨/팔꿈치 통증,밴드 풀업/링 로우,링 로우,가중 풀업,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX027,키핑 풀업,Kipping Pull-up,체조,수직 당기기,2,3,중간,회,세트당 3~15,체중,어깨 불안정/스트릭트 기반 없음,스트릭트/밴드 풀업,미해석,체스트투바,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,https://www.youtube.com/watch?v=aAggnpPyR6E
EX028,체스트투바 풀업,Chest-to-bar Pull-up,체조,수직 당기기,2,4,중간,회,세트당 2~10,체중,어깨/팔꿈치 통증,풀업,미해석,바 머슬업,바 머슬업,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,https://www.youtube.com/watch?v=p9Stan68FYM
EX029,로프 클라임,Rope Climb,체조,수직 당기기,2,4,중간,상승회/m,2~8회,체중,그립/어깨 통증; 하강 미숙,풋록/시티드 로프 풀,미해석,레그리스 클라임,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX030,스내치,Snatch,웨이트리프팅,올림픽-스내치,2,5,중간,품질회,5~10×1~3,가벼움~무거움,감독 없음/어깨·손목 통증,행 파워 스내치/PVC,행 파워 스내치,블록/디피싯/복합 스내치,미해석,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,
EX031,파워 스내치,Power Snatch,웨이트리프팅,올림픽-스내치,1,4,중간,품질회,4~8×1~3,가벼움~중간,어깨/손목 통증,행 머슬 스내치,미해석,풀 스내치,미해석,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,
EX032,행 파워 스내치,Hang Power Snatch,웨이트리프팅,올림픽-스내치,1,3,중간,품질회,4~8×2~4,가벼움~중간,어깨/손목 통증,머슬 스내치,머슬 스내치,파워 스내치 바닥,미해석,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,
EX033,머슬 스내치,Muscle Snatch,웨이트리프팅,올림픽-스내치,1,2,낮음,품질회,3~5×3~5,가벼움,어깨 통증,PVC 머슬 스내치,미해석,파워 스내치,파워 스내치,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,
EX034,톨 스내치,Tall Snatch,웨이트리프팅,올림픽-스내치,2,4,낮음,품질회,4~6×2~3,가벼움,오버헤드 불안정,드롭 스내치 PVC,미해석,하이행 스내치,미해석,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,
EX035,스내치 밸런스,Snatch Balance,웨이트리프팅,올림픽-스내치,2,4,중간,품질회,4~7×1~3,가벼움~중간,어깨/무릎 통증,드롭 스내치,미해석,헤비 스내치 밸런스,미해석,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,
EX036,스내치 풀,Snatch Pull,웨이트리프팅,올림픽-풀,1,3,중간,세트×회,3~6×2~5,중간~무거움,급성 요통,스내치 데드리프트,스내치 데드리프트,디피싯/포즈 스내치 풀,미해석,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,
EX037,스내치 데드리프트,Snatch Deadlift,웨이트리프팅,올림픽-풀,1,2,중간,세트×회,3~5×3~6,중간~무거움,급성 요통,블록 스내치 데드리프트,미해석,포즈/슬로우 스내치 DL,미해석,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,
EX038,클린,Clean,웨이트리프팅,올림픽-클린,2,5,중간,품질회,5~10×1~3,가벼움~무거움,감독 없음/손목·요통,행 파워 클린,행 파워 클린,블록/디피싯/복합 클린,미해석,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,https://www.youtube.com/watch?v=9ujMWHBX5CU
EX039,파워 클린,Power Clean,웨이트리프팅,올림픽-클린,1,3,중간,품질회,4~8×1~3,가벼움~중간,손목/요통,행 파워 클린,행 파워 클린,풀 클린,미해석,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,
EX040,행 파워 클린,Hang Power Clean,웨이트리프팅,올림픽-클린,1,3,중간,품질회,4~8×2~4,가벼움~중간,손목/요통,덤벨 행 클린,미해석,파워 클린 바닥,미해석,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,
EX041,톨 클린,Tall Clean,웨이트리프팅,올림픽-클린,2,4,낮음,품질회,4~6×2~3,가벼움,손목/무릎 통증,클린 턴오버 드릴,미해석,하이행 클린,미해석,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,
EX042,클린 풀,Clean Pull,웨이트리프팅,올림픽-풀,1,3,중간,세트×회,3~6×2~5,중간~무거움,급성 요통,클린 데드리프트,클린 데드리프트,디피싯/포즈 클린 풀,미해석,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,
EX043,클린 데드리프트,Clean Deadlift,웨이트리프팅,올림픽-풀,1,2,중간,세트×회,3~5×3~6,중간~무거움,급성 요통,블록 클린 DL,미해석,포즈/슬로우 클린 DL,미해석,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,
EX044,클린+프론트스쿼트,Clean + Front Squat Complex,웨이트리프팅,올림픽-복합,2,4,중간,콤플렉스,4~7×(1+1~2),중간,손목/무릎 통증,행 클린+스쿼트,미해석,클린+다중 스쿼트,미해석,S08,https://www.catalystathletics.com/article/2031/Multidimensionality-in-Weightlifting-Programming-Do-More-wit/,https://www.crossfit.com/essentials/movements,
EX045,스플릿 저크,Split Jerk,웨이트리프팅,올림픽-저크,2,5,중간,품질회,5~10×1~3,가벼움~무거움,감독 없음/어깨·무릎 통증,푸시 저크/프레스 인 스플릿,푸시 저크 / 프레스 인 스플릿,블록/랙 헤비 저크,미해석,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,
EX046,푸시 저크,Push Jerk,웨이트리프팅,올림픽-저크,1,3,중간,회,3~7×2~6,가벼움~중간,어깨/손목 통증,푸시프레스,푸시프레스,스플릿 저크,스플릿 저크,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,https://www.youtube.com/watch?v=V-hKuAfWNUw
EX047,파워 저크,Power Jerk,웨이트리프팅,올림픽-저크,2,4,중간,품질회,4~8×1~3,중간,어깨/무릎 통증,푸시 저크,푸시 저크,스플릿 저크,스플릿 저크,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,
EX048,저크 딥,Jerk Dip,웨이트리프팅,저크 보조,1,2,낮음,세트×회,3~5×3~5,중간~무거움,무릎/허리 통증,무부하 딥,미해석,저크 드라이브,저크 드라이브,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,
EX049,저크 드라이브,Jerk Drive,웨이트리프팅,저크 보조,2,3,중간,세트×회,3~6×2~4,중간~무거움,무릎/어깨 통증,저크 딥,저크 딥,푸시프레스+저크,미해석,S08,https://www.catalystathletics.com/article/2031/Multidimensionality-in-Weightlifting-Programming-Do-More-wit/,https://www.crossfit.com/essentials/movements,
EX050,프레스 인 스플릿,Press in Split,웨이트리프팅,저크 보조,1,2,낮음,회/측,3~5×4~8,가벼움,어깨 통증,PVC 프레스 인 스플릿,미해석,푸시프레스 인 스플릿,미해석,S08,https://www.catalystathletics.com/article/2031/Multidimensionality-in-Weightlifting-Programming-Do-More-wit/,https://www.crossfit.com/essentials/movements,
EX051,버피,Burpee,체조,전신,1,1,중간,회,5~20/세트,무부하,손목/요통/충격 제한,업다운/박스 버피,미해석,바페이 박스점프오버,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,https://www.youtube.com/watch?v=TU8QYVW0gDU
EX052,박스 점프,Box Jump,체조,점프,1,2,높음,접촉회,3~8×3~10,무부하,아킬레스/무릎 통증,낮은 박스/스텝업,미해석,높은 박스/리바운드,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX053,박스 점프 오버,Box Jump-over,체조,점프,2,3,높음,접촉회,5~15/세트,무부하,충격 내성 부족,스텝오버,미해석,버피 박스점프오버,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX054,싱글언더,Single-under,모노스트럭처럴,줄넘기,1,1,중간,회/초,30~120초,무부하,아킬레스 통증,라인 스텝,미해석,더블언더,더블언더,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX055,더블언더,Double-under,모노스트럭처럴,줄넘기,2,3,높음,회,10~80/세트,무부하,아킬레스/종아리 통증,싱글언더,싱글언더,크로스오버,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX056,핸드스탠드 홀드,Handstand Hold,체조,인버전,1,3,낮음,초,4~8×10~40초,체중,손목/어깨 통증; 어지럼,박스 파이크 홀드,미해석,프리 핸드스탠드,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX057,월워크,Wall Walk,체조,인버전,1,3,중간,회,2~8/세트,체중,어깨/손목 통증,부분 월워크,미해석,핸드스탠드 워크,핸드스탠드 워크,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX058,핸드스탠드 푸시업,Handstand Push-up,체조,인버전 밀기,2,4,중간,품질회,3~8×1~8,체중,목/어깨/손목 통증,박스 파이크 HSPU,미해석,디피싯/프리 HSPU,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX059,핸드스탠드 워크,Handstand Walk,체조,인버전 이동,3,5,중간,m/초,5~20m,체중,손목/어깨 통증,벽 체중이동/베어크롤,미해석,장애물 HSW,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX060,행잉 니레이즈,Hanging Knee Raise,체조,몸통,1,2,낮음,회,3~5×5~15,체중,그립/어깨 통증,수파인 니레이즈,미해석,토투바,토투바,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX061,토투바,Toes-to-bar,체조,몸통,2,4,중간,회,3~10/세트,체중,어깨/그립 통증,니레이즈,미해석,스트릭트 TTB,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX062,싯업,Sit-up,체조,몸통,1,1,낮음,회,10~30/세트,무부하,요통/고관절 굴곡근 통증,크런치,미해석,GHD 싯업,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX063,홀로우 홀드,Hollow Hold,체조,몸통,1,1,낮음,초,3~5×15~40초,체중,요통,턱 홀로우,미해석,홀로우 락,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX064,아치 홀드,Arch Hold,체조,몸통,1,1,낮음,초,3~5×15~40초,체중,급성 요통,버드독,버드독,아치 락,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX065,엘싯,L-sit,체조,몸통,2,4,낮음,초,4~8×5~20초,체중,손목/고관절 굴곡근 통증,턱싯,미해석,링 L-sit,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX066,바 머슬업,Bar Muscle-up,체조,복합 당김/밀기,3,5,중간,품질회,4~8×1~5,체중,어깨/팔꿈치 통증,체스트투바+바 딥,미해석,스트릭트/연속 BMU,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,https://www.youtube.com/watch?v=iUAukdE0QQ4
EX067,링 머슬업,Ring Muscle-up,체조,복합 당김/밀기,3,5,중간,품질회,4~8×1~4,체중,어깨/팔꿈치 통증,낮은 링 전환+딥,미해석,스트릭트/연속 RMU,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,https://www.youtube.com/watch?v=vJTJFc2wmk4
EX068,달리기,Run,모노스트럭처럴,달리기,1,1,중간~높음,m/분,100m~60분,개인 페이스,하지 통증,걷기/로우,로우,인터벌/스프린트,미해석,S11,https://www.crossfit.com/pro-coach/programming-basics-part-1,https://www.crossfit.com/essentials/movements,
EX069,로우,Row Erg,모노스트럭처럴,로잉,1,1,낮음,m/cal/분,10초~60분,개인 페이스,급성 요통,기술 로우,미해석,스프린트 인터벌,미해석,S11,https://www.crossfit.com/pro-coach/programming-basics-part-1,https://www.crossfit.com/essentials/movements,
EX070,바이크에르그,Bike Erg,모노스트럭처럴,사이클,1,1,낮음,cal/분,10초~90분,개인 페이스,무릎 통증,리컴번트/쉬운 페달,미해석,스프린트 인터벌,미해석,S11,https://www.crossfit.com/pro-coach/programming-basics-part-1,https://www.crossfit.com/essentials/movements,
EX071,에코바이크,Echo Bike,모노스트럭처럴,사이클,1,1,낮음,cal/분,10초~40분,개인 페이스,무릎/어깨 통증,하체만 쉬운 페달,미해석,고출력 인터벌,미해석,S11,https://www.crossfit.com/pro-coach/programming-basics-part-1,https://www.crossfit.com/essentials/movements,
EX072,스키에르그,Ski Erg,모노스트럭처럴,스키,1,1,낮음,m/cal/분,10초~60분,개인 페이스,어깨/요통,밴드 풀다운,미해석,고출력 인터벌,미해석,S11,https://www.crossfit.com/pro-coach/programming-basics-part-1,https://www.crossfit.com/essentials/movements,
EX073,수영,Swim,모노스트럭처럴,수영,2,3,낮음,m/분,25m~60분,개인 페이스,감독/수영능력 없음,아쿠아조깅,미해석,인터벌,미해석,S11,https://www.crossfit.com/pro-coach/programming-basics-part-1,https://www.crossfit.com/essentials/movements,
EX074,파머 캐리,Farmer Carry,웨이트리프팅,캐리,1,1,낮음,m/초,3~6×20~60m,중간~무거움,그립/요통,가벼운 양손 캐리,미해석,수트케이스 캐리,수트케이스 캐리,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX075,수트케이스 캐리,Suitcase Carry,웨이트리프팅,캐리,1,2,낮음,m/측,3~5×20~50m,중간,요통,양손 파머 캐리,미해석,오버헤드 캐리,오버헤드 캐리,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX076,프론트랙 캐리,Front Rack Carry,웨이트리프팅,캐리,1,2,낮음,m/초,3~5×20~50m,중간,손목/호흡 제한,고블릿 캐리,미해석,더블KB/바벨 캐리,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX077,오버헤드 캐리,Overhead Carry,웨이트리프팅,캐리,2,3,낮음,m/측,3~5×15~40m,가벼움~중간,어깨 통증,프론트랙 캐리,프론트랙 캐리,싱글암 KB 오버헤드 캐리,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX078,슬레드 푸시,Sled Push,웨이트리프팅,슬레드,1,1,낮음,m/초,4~10×10~30m,중간~무거움,급성 무릎 통증,가벼운 슬레드,미해석,헤비/스프린트 슬레드,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX079,슬레드 풀,Sled Pull,웨이트리프팅,슬레드,1,1,낮음,m/초,4~10×10~30m,중간~무거움,요통/그립 통증,가벼운 백워드 드래그,미해석,핸드오버핸드 풀,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX080,샌드백 클린,Sandbag Clean,웨이트리프팅,비정형 물체,1,2,중간,회,3~10/세트,중간~무거움,급성 요통,샌드백 데드리프트,미해석,숄더링,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX081,샌드백 캐리,Sandbag Carry,웨이트리프팅,비정형 물체,1,1,낮음,m/초,20~200m,중간~무거움,호흡/요통 제한,가벼운 베어허그 캐리,미해석,숄더 캐리,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX082,월볼샷,Wall-ball Shot,웨이트리프팅,혼합,1,2,중간,회,10~30/세트,가벼움~중간,무릎/어깨 통증,낮은 타깃/가벼운 볼,미해석,더 높은 타깃,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX083,메디신볼 클린,Medicine-ball Clean,웨이트리프팅,혼합,1,1,낮음,회,3~5×5~15,가벼움,요통/무릎 통증,메드볼 데드리프트,미해석,덤벨/바벨 클린,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,https://www.youtube.com/watch?v=-nk0GqeSTJs
EX084,스러스터,Thruster,웨이트리프팅,혼합,1,3,중간,회,5~20/세트,가벼움~중간,무릎/어깨 통증,DB/가벼운 스러스터,미해석,클러스터,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,https://www.youtube.com/watch?v=aea5BGj9a8Y
EX085,덤벨 스내치,Dumbbell Snatch,웨이트리프팅,혼합,1,2,중간,회,6~20/세트,가벼움~중간,어깨/요통,행 DB 스내치,미해석,바벨 파워 스내치,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX086,케틀벨 클린,Kettlebell Clean,웨이트리프팅,혼합,1,2,낮음,회/측,3~5×5~10,가벼움~중간,손목/요통,KB 데드리프트+하이풀,미해석,더블KB 클린,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX087,터키시 겟업,Turkish Get-up,웨이트리프팅,안정성,1,3,낮음,회/측,2~5×1~3,가벼움~중간,어깨/어지럼,신발/PVC TGU,미해석,헤비 TGU,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX088,플랭크,Plank,체조,몸통,1,1,낮음,초,3~5×20~60초,체중,급성 요통,인클라인 플랭크,미해석,가중/롱레버 플랭크,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX089,사이드 플랭크,Side Plank,체조,몸통,1,1,낮음,초/측,3~5×15~45초,체중,어깨/내전근 통증,무릎 사이드 플랭크,미해석,코펜하겐 플랭크,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX090,팔로프 프레스,Pallof Press,웨이트리프팅,몸통,1,1,낮음,회/측,2~4×8~15,가벼움,급성 요통,아이소 홀드,미해석,스플릿스탠스 팔로프,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX091,버드독,Bird Dog,체조,몸통,1,1,낮음,회/측,2~4×6~10,무부하,급성 요통,팔/다리 단독,미해석,밴드 버드독,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX092,글루트 브리지,Glute Bridge,체조,둔근,1,1,낮음,회,2~4×10~20,무부하~중간,급성 요통,양발 브리지,미해석,싱글레그/바벨 힙쓰러스트,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX093,노르딕 햄스트링 컬,Nordic Hamstring Curl,체조,햄스트링,2,3,중간,회,2~4×3~8,체중,햄스트링 통증,밴드 보조/부분 ROM,미해석,완전 이센트릭+콘센트릭,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX094,밴드 페이스풀,Band Face Pull,웨이트리프팅,상부 등,1,1,낮음,회,2~4×12~20,가벼움,어깨 통증,밴드 풀어파트,밴드 풀어파트,케이블 페이스풀,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX095,밴드 풀어파트,Band Pull-apart,웨이트리프팅,상부 등,1,1,낮음,회,2~4×15~25,가벼움,어깨 통증,가벼운 밴드,미해석,느린 템포,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX096,카프레이즈,Calf Raise,웨이트리프팅,하퇴,1,1,낮음,회,2~4×10~20,가벼움~중간,아킬레스 급성 통증,양발,미해석,싱글레그/가중,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX097,바페이싱 버피,Bar-facing Burpee,체조,버피 변형,1,2,높음,회,5~15/세트,무부하,손목/허리/아킬레스 통증,스텝백+스텝오버,미해석,더 빠른 사이클,미해석,S20,https://games.crossfit.com/workouts/open/2017,https://www.crossfit.com/essentials/movements,
